[837.2825090732521, 39179.45253555227, 16523.470718971577, 47125.232856918, 165901.9499559697, 282297.32569653855, 243573.66903522165, 157958.29913501962, 250061.34410563228, 305043.29302622617, 244892.29709030307, 114109.19474602441, 57880.53153019495, 25967.51172505137, 76036.38685181363, 26428.906621404156]
[8804.948665381304, 56161.1181661097, 18811.19436290209, 31193.56719037949, 23449.83753936118, 112076.87783789737, 333579.3579123938, 302277.04815640487, 293256.6838407513, 312313.04573331476, 259456.87615153694, 73212.4916927742, 79477.99590139584, 76677.00381731382, 30325.34836234181, 34508.88796921579]
[11642.14868484336, 68421.72266176024, 80323.17833377191, 73989.23852009255, 118700.36758771526, 136546.09772701628, 291973.8095042009, 156986.22968417572, 202027.5778438414, 255469.29168660962, 228334.09533248827, 127582.12745245533, 35639.043065921665, 118057.17199882638, 36555.07818112095, 70892.37582512961]
[130.6483830745716, 4941.112298751245, 5276.294396917078, 37362.84910305566, 30078.703969182512, 56577.624475768884, 34017.42389663351, 112674.12077812171, 85427.37387005099, 64793.621500588626, 25616.888429879367, 68672.11482655378, 87529.28012493496, 47080.44979312701, 17241.65626145128, 4681.209675494199]
[493.1946877248376, 41880.15013596502, 35276.181014755646, 84534.3154548753, 153120.12823152746, 147287.07097790632, 71078.36961221443, 61985.79384762154, 67912.90223205672, 84999.59214882321, 108984.75609936602, 83816.39194110512, 43985.84519731036, 28887.662581750148, 27364.545182244754, 2969.974935857043]
[20351.60261502763, 246997.57076993515, 906862.2772163618, 584249.9581283998, 744778.4432141249, 411622.2051033496, 688513.7870880723, 319274.69192870404, 813070.7175107301, 664120.4265679389, 676846.7923007002, 913180.0461900282, 649208.9926218624, 655469.9019946051, 795740.5695153086, 84574.46772663805]
[138073.81336444645, 89368.70214583784, 136384.3355736062, 708928.1801903816, 537138.7595640088, 644811.2622138547, 659663.8515680182, 884148.677713592, 382763.9806381127, 864618.9714791235, 280176.73006741196, 420780.5540798374, 660224.6435288925, 723539.3860329791, 179620.69507828233, 102404.88404970565]
[22608.12679104572, 119975.53098710447, 490190.0686082673, 388463.8602075276, 385428.2106125592, 204435.86216951263, 271999.5345177191, 301099.66196885123, 217923.2996654742, 357451.92456018925, 207922.56955043797, 376547.33555773675, 420126.6478359553, 541498.2780692743, 117451.39631838644, 66582.0260246683]
[26729.598051598176, 160448.7722408257, 175687.17347984877, 118675.52608021403, 73253.19679512542, 143646.73139734447, 102054.89109379584, 99090.41215443867, 97331.60882093124, 123923.70119104425, 72657.81152868758, 146631.395489947, 86530.09980751197, 91769.93267505264, 142478.6774398817, 98526.76461864178]
[117305.64735339896, 249059.6969500609, 597362.6266676048, 232082.90952185274, 278941.6177252957, 175628.3581739915, 209429.59107484922, 142879.33306854276, 178941.96909189114, 189708.32302491454, 123962.90778302496, 91982.74798341967, 382098.813828047, 403043.86542180844, 77897.80175643835, 190319.10486239643]
[114355.26973865276, 1080519.2876548443, 1299092.2648832672, 1590135.6557531164, 1341191.3414598573, 942041.8126466429, 1111840.9001374203, 518108.9236854227, 1487088.550119408, 1804071.964810036, 1701946.802041328, 1474387.8623636996, 1013943.6201066214, 913485.1811654211, 1127854.9405656203, 1321438.9290311807]
[149395.83461730124, 932857.5430992343, 1541157.2700885467, 1223893.9080128777, 1102435.7854715826, 1002074.8673284694, 1033200.098185155, 1572052.6165448902, 1774724.7213198345, 1942085.3041615416, 1961487.5348994243, 1893667.0903950643, 1949185.1681748868, 1755933.0537919623, 900215.2037237717, 902054.9173341248]
[108524.33269087625, 1181211.2320651854, 909080.482900495, 477349.57956331654, 431840.7486212581, 319591.19070338114, 243200.98351624765, 697973.171139512, 694956.8361237019, 567291.5721152509, 455503.56951298204, 183581.15835290882, 185645.48216782612, 278080.4534556059, 1060098.7331047712, 838036.8429257136]
[252047.40465634668, 373475.3959721658, 97269.50428413857, 244053.68501930626, 119497.65439723583, 334409.76019324525, 193176.06937371672, 157348.77281995874, 129835.99416762206, 138323.19269952935, 183621.95093210755, 233586.4214247576, 244631.996706921, 250001.9386565035, 253035.2062105764, 374886.36625391233]
[107853.3861128152, 661504.4140405006, 773452.4069826842, 135352.89656914544, 271099.371668296, 202188.38780615336, 185271.85268651467, 182959.73916214603, 166488.96920422406, 384143.676861921, 581211.4446835003, 592320.2401215291, 509686.9751474919, 358934.5874599538, 1101857.9739858329, 208096.91024427928]
[139010.0049996403, 634922.9308357894, 1184704.5633070562, 1030390.3754067556, 634529.5057983958, 1086181.5495361814, 1073168.98200616, 636785.9769592737, 663285.7519772692, 1116099.1294653006, 987518.2562917632, 333694.2915236705, 1100474.7551688745, 961243.380014595, 1263013.4224048767, 184192.68507606734]
[59249.43494245334, 226263.68949688144, 1088036.3634397248, 659258.6504152163, 553358.6832431979, 1521932.161040385, 1609110.6544553435, 1215120.5134724448, 345073.0081284529, 1357049.8657747381, 1406784.807711566, 1004870.9102367972, 506277.5424731562, 400749.242149173, 1059397.6904793316, 148908.91354872347]
[123839.09913270509, 352613.0276161999, 1056235.1520715824, 564320.0172742049, 767334.1769560332, 557785.1137700698, 856866.347430706, 509694.295169799, 268588.63173059776, 559184.7510061503, 564603.2255893257, 285323.10359874065, 692205.8379111714, 529674.0665731486, 992465.9886883046, 259094.19663101505]
[147454.5581594547, 75850.74690630421, 48368.98968872442, 120818.71771397706, 72862.06444284675, 62906.86551838126, 124676.83171815239, 44904.87260119345, 143471.30073442878, 115467.99014626135, 166071.4453339363, 152609.63308506575, 67574.92889344388, 145539.84875761464, 131641.4811950414, 155430.3703117063]
