24226.714036369023, 94527.17924983443, 471554.46291201527, 964068.1152612192, 700181.2301781691, 325924.7980822713, 193954.49322197904, 90609.7836046867, 193873.27803213295, 177616.40060281396, 248424.43784018874, 274160.172610138, 298433.9352025612, 276581.6461531093, 127659.58073947734, 43531.739319975444
2261.6387863670884, 75698.8229554149, 151351.16129892183, 749512.448779867, 679786.1026795688, 526559.5952228155, 189981.0504023811, 150516.54994530295, 117226.147108149, 157270.1366278366, 219197.4506106431, 393941.10328480566, 214839.23423691464, 66619.2998570744, 30508.845673845906, 625.1766250440301
76451.41885537512, 229328.45860823398, 469831.5755344688, 757221.6027391315, 639188.5077911285, 398484.6992313003, 190854.50357656437, 193081.99494813083, 124917.80336839781, 138648.95055100383, 181581.408107425, 207754.07204617164, 346762.6940828997, 476630.6594422562, 307523.4015289915, 194467.329883534
39654.04000855404, 168005.42020593022, 270474.5584299243, 531787.6164702885, 529790.3376927205, 466592.1392221453, 209537.6938535039, 190516.8844241645, 180933.46647229936, 170067.77511793596, 183390.9779508944, 184897.80308549327, 281206.29188241117, 288413.0309251183, 106567.6878194278, 74989.14300223676
314202.13336799643, 2743937.3125488516, 1221328.6598396562, 309317.46010457794, 325787.0512731708, 328119.990474893, 236437.69670877839, 266979.6271340859, 283719.1681972213, 286089.38464845275, 328196.41928063764, 331378.07245790656, 423182.1892783934, 428604.7665241759, 1049526.0607373037, 1191582.98179974
59713.910556921386, 2222103.2445564573, 1785522.463963292, 282132.4206839958, 258377.66210224465, 334715.83620079263, 318285.4998186097, 209400.4338188879, 254204.98960427658, 290634.6024410617, 344188.1455433288, 208987.79095143575, 303961.3621363794, 539258.4154399498, 939893.5310694992, 870386.6478640743
420930.36829029146, 1844960.9203701632, 2013222.6549842907, 461753.4425443704, 288125.88793827343, 254999.05259598387, 280011.63939765684, 257550.07963976584, 286372.8081529178, 265969.62431501376, 312808.40407031216, 318048.1033760052, 445837.4346791005, 492757.8071081465, 662244.5843363043, 919296.6556934868
490066.8682016768, 1983695.4585444778, 1329303.7002113364, 124222.07962489636, 80514.17594950492, 64906.66601707321, 67952.85194243061, 98788.89329098816, 106037.0723734223, 110464.10981183076, 194587.36812573596, 378935.8930250897, 341245.9204311276, 329791.7692726603, 546057.6889683082, 813118.4921175312
4419524.00653379, 2723288.7320223157, 976226.3171917718, 515790.6672154523, 921842.2390656259, 587632.7746460594, 751663.5665157879, 1045462.7437770034, 859995.5851128814, 645986.0815983199, 894823.899047989, 1629165.012832027, 1035976.6656362937, 1255379.6821637559, 1542384.9626397237, 3518435.3385460475
4458926.131439836, 3469040.1426983224, 1783790.3302929723, 693410.7129598599, 1050621.647351921, 1116500.4102826496, 1996514.1887072132, 1089436.2410810546, 813285.4895758434, 790252.4810438371, 2331104.8400569563, 1610196.6770985664, 1647802.7541504097, 2535284.1759419143, 2132020.6365757203, 3282637.2631561374
2672945.913695382, 3682884.5112583046, 950413.0374530012, 305085.92288856726, 261405.16924508175, 275520.73586648685, 270722.99568638863, 295527.2032708176, 332809.5007614783, 435866.3961135498, 286798.9376431296, 398233.9667310263, 451126.7866866154, 619762.1998264338, 1525319.7209184775, 1647967.428271872
3072717.9878122606, 3659528.343007178, 602521.6747370533, 493458.3692944418, 385946.54088584555, 441043.26758234686, 404900.09612547274, 469896.40150920313, 467736.4268486456, 251569.40933315342, 470769.791523047, 448951.60566915123, 727919.8491054557, 1328864.1199821858, 1070377.8046177172, 1393125.9281088044
2593709.2037044205, 2926394.805798191, 897300.6881981276, 540596.0943983934, 534666.6019312065, 403701.9175060667, 386143.61596939515, 377951.5287261898, 579401.0818416054, 856749.1264294293, 884357.5994856836, 639508.5098511523, 530338.3381072886, 790938.211985998, 1126145.2469539607, 1557157.7343504834
2842786.1772655393, 2382479.7507325336, 1065319.7050536585, 428588.55194864405, 628005.5411944662, 574064.3402571139, 922919.5682983121, 877025.76142759, 838330.2919680647, 879413.6703426717, 661953.6177885276, 846530.7031022595, 2215278.926268337, 2513285.8010049867, 1260522.8213319338, 3105293.244037503
1051579.9882053684, 2834264.2640704815, 1667861.985085476, 219270.21888096142, 258532.9422541723, 259835.8738793872, 262985.74583665875, 299566.70335915865, 263333.32573827624, 266971.9018339027, 315675.5764081312, 390953.7504933526, 470994.1066880103, 821672.594692584, 723842.5517754767, 1105528.8936440975
1387989.7716269372, 3286947.9914998775, 866741.0808175812, 382794.6306276173, 305337.32896811713, 267282.9568556492, 356238.07865133527, 373501.383040759, 280666.0271364652, 383214.03972791636, 539071.8356801352, 462263.4929808132, 401637.54189283773, 670137.5271299744, 485633.60417716287, 973382.9061682242
14065.952438423788, 91441.55589521778, 572636.5561287799, 1110740.6049209067, 465849.3424210739, 214970.1623234855, 148800.70222525246, 141026.90192636548, 192880.21888034203, 246157.49048918491, 334785.48195639736, 326587.26020899677, 370104.6581367529, 335806.2070852147, 194677.8492901615, 106377.66945794238
787.7943894189657, 62553.05240915556, 185932.2404959173, 1186551.4595749644, 659386.9998446652, 265246.36950368434, 117524.3078101338, 156413.6387779531, 126696.86365659296, 165316.88420929786, 294862.22259142395, 344386.6789231753, 260535.98056842637, 177772.5258624288, 99408.15082769877, 69829.22767101525
152629.50171575628, 375920.4724224523, 818236.7336299258, 779822.483966278, 154105.41431274218, 121361.8828337614, 120481.27914526353, 99720.1750379034, 71619.84509440903, 82597.92658802588, 64556.370360842135, 252703.9784809034, 510000.2112470988, 907031.1612095766, 578947.2803196232, 184409.9187216992
